v1,v2
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1000"
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info Ref #1003
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info Ref #1006
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
spam,"Congratulations! You've been chosen for an exclusive loan offer up to $50,000 with 0% interest. Reply YES to accept immediately."
ham,Please find attached the signed non-disclosure agreement for your records. Ref #1009
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,Please find attached the signed non-disclosure agreement for your records.
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day 6days. 16+ TsandCs apply. Ref #1012"
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1015
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
spam,Hot singles in your area want to meet you tonight! Call 09099726395 to chat live now. 18+ only.
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1018
ham,Please find attached the signed non-disclosure agreement for your records.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1021
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Draw! Call 09064012103 now to claim!"
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1024"
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1027
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1030"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1033
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1036"
spam,Hot singles in your area want to meet you tonight! Call 09099726395 to chat live now. 18+ only.
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
